date,time,cluster_size,address,day_type
2023-01-24,18:15:00,1,Artillery Avenue,holiday
2023-01-24,18:16:00,1,Universal Studios Singapore,holiday
2023-01-24,18:16:00,1,Resorts World Sentosa,holiday
2023-01-24,18:16:00,1,Serapong Course,holiday
2023-01-24,18:16:00,1,Ironside Link,holiday
2023-01-24,18:16:00,1,The Berth by the Cove,holiday
2023-01-24,18:17:00,1,Universal Studios Singapore,holiday
2023-01-24,18:17:00,1,Sentosa Gateway,holiday
2023-01-24,18:17:00,2,Ironside Link,holiday
2023-01-24,18:17:00,1,The Berth by the Cove,holiday
2023-01-24,18:18:00,1,Village Hotel @ Sentosa,holiday
2023-01-24,18:18:00,1,Universal Studios Singapore,holiday
2023-01-24,18:18:00,1,Sentosa Gateway,holiday
2023-01-24,18:18:00,2,Ironside Link,holiday
2023-01-24,18:18:00,1,Sentosa Gateway,holiday
2023-01-24,18:19:00,1,Resorts World Sentosa,holiday
2023-01-24,18:19:00,1,Universal Studios Singapore,holiday
2023-01-24,18:19:00,1,Sentosa Gateway,holiday
2023-01-24,18:19:00,1,Sentosa Gateway,holiday
2023-01-24,18:19:00,1,Ironside Link,holiday
2023-01-24,18:19:00,1,Gateway Avenue,holiday
2023-01-24,18:20:00,1,Resorts World Sentosa,holiday
2023-01-24,18:20:00,1,Universal Studios Singapore,holiday
2023-01-24,18:20:00,1,Sentosa Gateway,holiday
2023-01-24,18:20:00,1,Gateway Avenue,holiday
2023-01-24,18:20:00,1,Ironside Link,holiday
2023-01-24,18:20:00,1,Artillery Avenue,holiday
2023-01-24,18:21:00,1,Universal Studios Singapore,holiday
2023-01-24,18:21:00,1,Gateway Avenue,holiday
2023-01-24,18:21:00,2,Ironside Link,holiday
2023-01-24,18:21:00,1,Bukit Manis Road,holiday
2023-01-24,18:22:00,1,Universal Studios Singapore,holiday
2023-01-24,18:22:00,1,Gateway Avenue,holiday
2023-01-24,18:22:00,1,Gateway Avenue,holiday
2023-01-24,18:22:00,2,Ironside Link,holiday
2023-01-24,18:22:00,1,Serapong Course,holiday
2023-01-24,18:22:00,1,Sofitel Sentosa Resort & Spa,holiday
2023-01-24,18:22:00,1,Sentosa Gateway,holiday
2023-01-24,18:23:00,1,Gateway Avenue,holiday
2023-01-24,18:23:00,1,Gateway Avenue,holiday
2023-01-24,18:23:00,1,Gateway Avenue,holiday
2023-01-24,18:23:00,2,Ironside Link,holiday
2023-01-24,18:23:00,1,Serapong Course,holiday
2023-01-24,18:23:00,1,Sofitel Sentosa Resort & Spa,holiday
2023-01-24,18:23:00,1,Sentosa Gateway,holiday
2023-01-24,18:24:00,1,Sentosa Boardwalk,holiday
2023-01-24,18:24:00,1,Sentosa Boardwalk,holiday
2023-01-24,18:24:00,1,Ironside Road,holiday
2023-01-24,18:24:00,1,Sentosa Gateway,holiday
2023-01-24,18:24:00,1,Ironside Link,holiday
2023-01-24,18:24:00,1,Sofitel Sentosa Resort & Spa,holiday
2023-01-24,18:25:00,1,Resorts World Sentosa,holiday
2023-01-24,18:25:00,1,Ironside Road,holiday
2023-01-24,18:25:00,1,Gateway Avenue,holiday
2023-01-24,18:25:00,1,Gateway Avenue,holiday
2023-01-24,18:25:00,1,Ironside Link,holiday
2023-01-24,18:25:00,1,Sofitel Sentosa Resort & Spa,holiday
2023-01-24,18:25:00,1,Sentosa Gateway,holiday
2023-01-24,18:26:00,1,Palawan Beach Walk,holiday
2023-01-24,18:26:00,1,Gateway Avenue,holiday
2023-01-24,18:26:00,1,Gateway Avenue,holiday
2023-01-24,18:26:00,1,Gateway Avenue,holiday
2023-01-24,18:26:00,1,Ironside Link,holiday
2023-01-24,18:26:00,1,Bukit Manis Road,holiday
2023-01-24,18:26:00,1,Sentosa Gateway,holiday
2023-01-24,18:27:00,2,Sentosa Boardwalk,holiday
2023-01-24,18:27:00,2,Ironside Link,holiday
2023-01-24,18:27:00,1,Gateway Avenue,holiday
2023-01-24,18:27:00,1,Serapong Course,holiday
2023-01-24,18:27:00,2,Serapong Course,holiday
2023-01-24,18:27:00,1,Allanbrooke Road,holiday
2023-01-24,18:28:00,1,Sentosa Gateway,holiday
2023-01-24,18:28:00,1,Sentosa Gateway,holiday
2023-01-24,18:28:00,1,Gateway Avenue,holiday
2023-01-24,18:28:00,1,Serapong Course,holiday
2023-01-24,18:28:00,1,Ironside Link,holiday
2023-01-24,18:28:00,1,Serapong Course,holiday
2023-01-24,18:28:00,1,Gateway Avenue,holiday
2023-01-24,18:28:00,1,Ocean Drive,holiday
2023-01-24,18:29:00,1,Sentosa Gateway,holiday
2023-01-24,18:29:00,1,Gateway Avenue,holiday
2023-01-24,18:29:00,4,Gateway Avenue,holiday
2023-01-24,18:29:00,1,Ironside Link,holiday
2023-01-24,18:29:00,2,Gateway Avenue,holiday
2023-01-24,18:29:00,1,Ocean Drive,holiday
2023-01-24,18:30:00,1,Resorts World Sentosa,holiday
2023-01-24,18:30:00,1,Gateway Avenue,holiday
2023-01-24,18:30:00,4,Gateway Avenue,holiday
2023-01-24,18:30:00,2,Ironside Link,holiday
2023-01-24,18:31:00,1,Resorts World Sentosa,holiday
2023-01-24,18:31:00,1,Resorts World Sentosa,holiday
2023-01-24,18:31:00,4,Serapong Course,holiday
2023-01-24,18:31:00,1,Ironside Link,holiday
2023-01-24,18:31:00,1,Artillery Avenue,holiday
2023-01-24,18:31:00,1,Ocean Drive,holiday
2023-01-24,18:31:00,1,Sentosa Gateway,holiday
2023-01-24,18:32:00,1,Resorts World Sentosa,holiday
2023-01-24,18:32:00,1,Gateway Avenue,holiday
2023-01-24,18:32:00,1,Serapong Course,holiday
2023-01-24,18:32:00,1,Ironside Link,holiday
2023-01-24,18:32:00,1,Serapong Course,holiday
2023-01-24,18:32:00,1,Bukit Manis Road,holiday
2023-01-24,18:33:00,1,Resorts World Sentosa,holiday
2023-01-24,18:33:00,1,Serapong Course,holiday
2023-01-24,18:33:00,1,Ironside Link,holiday
2023-01-24,18:33:00,1,Serapong Course,holiday
2023-01-24,18:33:00,1,Serapong Course,holiday
2023-01-24,18:33:00,1,Bukit Manis Road,holiday
2023-01-24,18:33:00,1,ONE ̊15 Marina,holiday
2023-01-24,18:33:00,1,Ocean Drive,holiday
2023-01-24,18:33:00,1,Sentosa Gateway,holiday
2023-01-24,18:34:00,1,Resorts World Sentosa,holiday
2023-01-24,18:34:00,1,Gateway Avenue,holiday
2023-01-24,18:34:00,1,Serapong Course,holiday
2023-01-24,18:34:00,1,Ironside Link,holiday
2023-01-24,18:34:00,1,Ocean Drive,holiday
2023-01-24,18:34:00,1,Ocean Way,holiday
2023-01-24,18:34:00,1,Ocean Drive,holiday
2023-01-24,18:35:00,1,Resorts World Sentosa,holiday
2023-01-24,18:35:00,1,Sentosa Gateway,holiday
2023-01-24,18:35:00,1,Sentosa Boardwalk,holiday
2023-01-24,18:35:00,1,Gateway Avenue,holiday
2023-01-24,18:35:00,1,Serapong Course,holiday
2023-01-24,18:35:00,1,Ironside Link,holiday
2023-01-24,18:35:00,2,Serapong Course,holiday
2023-01-24,18:35:00,1,Allanbrooke Road,holiday
2023-01-24,18:35:00,1,Sentosa Cove Arrival Plaza,holiday
2023-01-24,18:35:00,1,Ocean Drive,holiday
2023-01-24,18:36:00,1,Sentosa Gateway,holiday
2023-01-24,18:36:00,1,Sentosa Gateway,holiday
2023-01-24,18:36:00,1,Serapong Course,holiday
2023-01-24,18:36:00,1,Ironside Link,holiday
2023-01-24,18:36:00,1,Gateway Avenue,holiday
2023-01-24,18:36:00,1,Allanbrooke Road,holiday
2023-01-24,18:36:00,1,Sentosa Gateway,holiday
2023-01-24,18:37:00,1,Fort Siloso Skywalk,holiday
2023-01-24,18:37:00,1,Sentosa Gateway,holiday
2023-01-24,18:37:00,1,Serapong Course,holiday
2023-01-24,18:37:00,1,Ironside Link,holiday
2023-01-24,18:37:00,1,Serapong Course,holiday
2023-01-24,18:37:00,1,Allanbrooke Road,holiday
2023-01-24,18:38:00,1,Village Hotel @ Sentosa,holiday
2023-01-24,18:38:00,1,Artillery Avenue,holiday
2023-01-24,18:38:00,2,Ironside Link,holiday
2023-01-24,18:39:00,1,Hard Rock Hotel Singapore,holiday
2023-01-24,18:39:00,1,Gateway Avenue,holiday
2023-01-24,18:39:00,2,Ironside Link,holiday
2023-01-24,18:39:00,1,Serapong Course,holiday
2023-01-24,18:40:00,1,Village Hotel @ Sentosa,holiday
2023-01-24,18:40:00,2,Ironside Link,holiday
2023-01-24,18:40:00,1,Ocean Way,holiday
2023-01-24,18:41:00,1,Hard Rock Hotel Singapore,holiday
2023-01-24,18:41:00,1,Ironside Link,holiday
2023-01-24,18:41:00,1,Serapong Course,holiday
2023-01-24,18:42:00,1,Hard Rock Hotel Singapore,holiday
2023-01-24,18:42:00,1,Serapong Course,holiday
2023-01-24,18:43:00,1,Hard Rock Hotel Singapore,holiday
2023-01-24,18:43:00,1,Village Hotel @ Sentosa,holiday
2023-01-24,18:43:00,1,Ironside Link,holiday
2023-01-24,18:43:00,1,Serapong Course,holiday
2023-01-24,18:44:00,1,Resorts World Sentosa,holiday
2023-01-24,18:44:00,1,Village Hotel @ Sentosa,holiday
2023-01-24,18:44:00,1,Gateway Avenue,holiday
2023-01-24,18:44:00,1,Ironside Link,holiday
2023-01-24,18:44:00,1,Serapong Course,holiday
2023-01-24,18:44:00,1,Serapong Course,holiday
2023-01-24,18:44:00,1,Ocean Way,holiday
2023-01-24,18:44:00,1,Ocean Drive,holiday
2023-01-24,18:45:00,1,Resorts World Sentosa,holiday
2023-01-24,18:45:00,1,Ironside Link,holiday
2023-01-24,18:45:00,1,Serapong Course,holiday
2023-01-24,18:45:00,1,Allanbrooke Road,holiday
2023-01-24,18:45:00,1,Ocean Drive,holiday
2023-01-24,18:45:00,1,Ocean Way,holiday
2023-01-24,18:46:00,1,Resorts World Sentosa,holiday
2023-01-24,18:46:00,2,Ironside Link,holiday
2023-01-24,18:46:00,1,Allanbrooke Road,holiday
2023-01-24,18:46:00,1,Allanbrooke Road,holiday
2023-01-24,18:46:00,2,Ocean Drive,holiday
2023-01-24,18:46:00,1,Cove Way,holiday
2023-01-24,18:46:00,1,Ocean Drive,holiday
2023-01-24,18:47:00,1,Resorts World Sentosa,holiday
2023-01-24,18:47:00,2,Ironside Link,holiday
2023-01-24,18:47:00,1,Allanbrooke Road,holiday
2023-01-24,18:47:00,1,Allanbrooke Road,holiday
2023-01-24,18:47:00,1,Allanbrooke Road,holiday
2023-01-24,18:47:00,1,Cove Way,holiday
2023-01-24,18:48:00,1,Resorts World Sentosa,holiday
2023-01-24,18:48:00,2,Ironside Link,holiday
2023-01-24,18:48:00,1,Serapong Course,holiday
2023-01-24,18:48:00,1,Allanbrooke Road,holiday
2023-01-24,18:48:00,1,Allanbrooke Road,holiday
2023-01-24,18:48:00,1,ONE ̊15 Marina,holiday
2023-01-24,18:49:00,1,Resorts World Sentosa,holiday
2023-01-24,18:49:00,1,Ironside Link,holiday
2023-01-24,18:49:00,1,Serapong Course,holiday
2023-01-24,18:49:00,1,Allanbrooke Road,holiday
2023-01-24,18:49:00,1,Allanbrooke Road,holiday
2023-01-24,18:49:00,1,Allanbrooke Road,holiday
2023-01-24,18:50:00,1,Gateway Avenue,holiday
2023-01-24,18:50:00,1,Ironside Link,holiday
2023-01-24,18:50:00,2,Serapong Course,holiday
2023-01-24,18:50:00,1,Gateway Avenue,holiday
2023-01-24,18:50:00,1,Gateway Avenue,holiday
2023-01-24,18:50:00,1,Allanbrooke Road,holiday
2023-01-24,18:50:00,1,Allanbrooke Road,holiday
2023-01-24,18:50:00,1,Cove Way,holiday
2023-01-24,18:51:00,1,Resorts World Sentosa,holiday
2023-01-24,18:51:00,1,Artillery Avenue,holiday
2023-01-24,18:51:00,1,Ironside Link,holiday
2023-01-24,18:51:00,1,Serapong Course,holiday
2023-01-24,18:51:00,1,Allanbrooke Road,holiday
2023-01-24,18:51:00,1,Cove Way,holiday
2023-01-24,18:51:00,1,Ocean Drive,holiday
2023-01-24,18:52:00,1,Sentosa Gateway,holiday
2023-01-24,18:52:00,1,Resorts World Sentosa,holiday
2023-01-24,18:52:00,1,Gateway Avenue,holiday
2023-01-24,18:52:00,1,Ironside Link,holiday
2023-01-24,18:52:00,1,Serapong Course,holiday
2023-01-24,18:52:00,1,Serapong Course,holiday
2023-01-24,18:52:00,1,Allanbrooke Road,holiday
2023-01-24,18:52:00,1,Ocean Drive,holiday
2023-01-24,18:53:00,1,Resorts World Sentosa,holiday
2023-01-24,18:53:00,1,Sentosa Boardwalk,holiday
2023-01-24,18:53:00,1,Resorts World Sentosa,holiday
2023-01-24,18:53:00,2,Ironside Link,holiday
2023-01-24,18:53:00,1,Serapong Course,holiday
2023-01-24,18:53:00,1,Allanbrooke Road,holiday
2023-01-24,18:53:00,1,Cove Way,holiday
2023-01-24,18:53:00,1,Ocean Drive Circus,holiday
2023-01-24,18:54:00,1,Resorts World Sentosa,holiday
2023-01-24,18:54:00,1,Gateway Avenue,holiday
2023-01-24,18:54:00,2,Ironside Link,holiday
2023-01-24,18:54:00,1,Allanbrooke Road,holiday
2023-01-24,18:54:00,1,Sentosa Cove,holiday
2023-01-24,18:54:00,1,Cove Drive,holiday
2023-01-24,18:54:00,1,Sentosa Gateway,holiday
2023-01-24,18:54:00,1,Sentosa Gateway,holiday
2023-01-24,18:54:00,1,Sentosa Gateway,holiday
2023-01-24,18:55:00,1,Resorts World Sentosa,holiday
2023-01-24,18:55:00,1,Sentosa Gateway,holiday
2023-01-24,18:55:00,1,Sentosa Gateway,holiday
2023-01-24,18:55:00,1,Gateway Avenue,holiday
2023-01-24,18:55:00,2,Ironside Link,holiday
2023-01-24,18:55:00,1,Serapong Course,holiday
2023-01-24,18:55:00,1,Allanbrooke Road,holiday
2023-01-24,18:56:00,1,Sentosa Gateway,holiday
2023-01-24,18:56:00,1,Gateway Avenue,holiday
2023-01-24,18:56:00,1,Gateway Avenue,holiday
2023-01-24,18:56:00,2,Ironside Link,holiday
2023-01-24,18:56:00,1,Allanbrooke Road,holiday
2023-01-24,18:56:00,1,Sentosa Gateway,holiday
2023-01-24,18:57:00,1,Resorts World Sentosa,holiday
2023-01-24,18:57:00,1,Sentosa Boardwalk,holiday
2023-01-24,18:57:00,1,Southern Islands,holiday
2023-01-24,18:57:00,1,Gateway Avenue,holiday
2023-01-24,18:57:00,3,Serapong Course,holiday
2023-01-24,18:57:00,2,Ironside Link,holiday
2023-01-24,18:57:00,2,Gateway Avenue,holiday
2023-01-24,18:57:00,1,Sentosa Golf Club,holiday
2023-01-24,18:57:00,1,Sentosa Gateway,holiday
2023-01-24,18:58:00,1,Sentosa Boardwalk,holiday
2023-01-24,18:58:00,1,Gateway Avenue,holiday
2023-01-24,18:58:00,1,Gateway Avenue,holiday
2023-01-24,18:58:00,3,Gateway Avenue,holiday
2023-01-24,18:58:00,2,Ironside Link,holiday
2023-01-24,18:58:00,1,Gateway Avenue,holiday
2023-01-24,18:58:00,1,Serapong Course,holiday
2023-01-24,18:58:00,1,Bukit Manis Road,holiday
2023-01-24,18:58:00,1,Ocean Drive,holiday
2023-01-24,18:58:00,1,Sentosa Gateway,holiday
2023-01-24,18:58:00,1,Sentosa Gateway,holiday
2023-01-24,18:59:00,1,Sentosa Boardwalk,holiday
2023-01-24,18:59:00,1,Gateway Avenue,holiday
2023-01-24,18:59:00,1,Gateway Avenue,holiday
2023-01-24,18:59:00,1,Gateway Avenue,holiday
2023-01-24,18:59:00,2,Ironside Link,holiday
2023-01-24,18:59:00,1,Serapong Course,holiday
2023-01-24,18:59:00,1,Gateway Avenue,holiday
2023-01-24,18:59:00,1,Serapong Course,holiday
2023-01-24,18:59:00,1,Bukit Manis Road,holiday
2023-01-24,18:59:00,1,Ocean Drive,holiday
2023-01-24,18:59:00,2,Sentosa Gateway,holiday
